series,phi,N,rep,loglik_pf,phi_true,nu,c
Serie_1,0.625253164556962,50,25,-8010.634027441758,0.965,2.5,0.2
Serie_1,0.625253164556962,50,26,-7833.9652376403665,0.965,2.5,0.2
Serie_1,0.625253164556962,50,27,-7807.623512350097,0.965,2.5,0.2
Serie_1,0.625253164556962,50,28,-7769.990897975777,0.965,2.5,0.2
Serie_1,0.625253164556962,50,29,-7657.634029100612,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,0,-7615.29553844273,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,1,-7525.221711795735,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,2,-7575.951316830474,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,3,-7570.7585623354535,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,4,-7622.0841825637735,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,5,-7481.7361600719305,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,6,-7639.052183813867,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,7,-7543.352163695094,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,8,-7722.26480726701,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,9,-7644.437394330284,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,10,-7773.186160422563,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,11,-7596.891781119179,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,12,-7515.966562825509,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,13,-7770.682611708847,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,14,-7655.22137854396,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,15,-7709.667887324423,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,16,-7672.781956817702,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,17,-7680.260796876417,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,18,-7703.061665573253,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,19,-7485.568560274285,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,20,-7539.603271314686,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,21,-7543.128518175324,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,22,-7614.291184678312,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,23,-7652.6702520044,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,24,-7666.390604080711,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,25,-7596.950096396193,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,26,-7506.979119698981,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,27,-7560.175419447332,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,28,-7543.514603165204,0.965,2.5,0.2
Serie_1,0.6303037974683544,50,29,-7651.064896223825,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,0,-7372.344931203229,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,1,-7613.15544593204,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,2,-7425.07036185955,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,3,-7557.958786303645,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,4,-7603.093739031298,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,5,-7594.652889449951,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,6,-7432.984837012231,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,7,-7702.119588838504,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,8,-7548.76840701656,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,9,-7381.659011111467,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,10,-7443.626749066326,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,11,-7501.220635523218,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,12,-7376.7912621400055,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,13,-7356.388140379867,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,14,-7506.0902050477425,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,15,-7581.020609244107,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,16,-7498.046400366758,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,17,-7661.176906926014,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,18,-7432.15338969868,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,19,-7452.948799797357,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,20,-7560.865461581698,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,21,-7349.754198547631,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,22,-7362.369246975793,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,23,-7614.872519134268,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,24,-7605.7022747187375,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,25,-7365.662330251362,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,26,-7810.2440447246145,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,27,-7502.948377127773,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,28,-7576.011421631664,0.965,2.5,0.2
Serie_1,0.6353544303797468,50,29,-7394.93533503413,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,0,-7205.375740353353,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,1,-7249.935449453751,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,2,-7180.6785551577,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,3,-7371.9811310064215,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,4,-7488.4105760171215,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,5,-7354.278240837237,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,6,-7246.755899170747,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,7,-7339.458723555335,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,8,-7212.025131086305,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,9,-7352.138382508961,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,10,-7468.775773636852,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,11,-7355.19063407141,0.965,2.5,0.2
Serie_1,0.6404050632911392,50,12,-7245.970941751601,0.965,2.5,0.2
